poem_line,cluster_label,tsne_dim1,tsne_dim2
宠极爱还歇,18,14.03435,20.791576
妒深情却疏,18,-8.618658,39.49843
君情与妾意,0,17.126648,-31.265162
各自东西流,3,-10.0659485,-16.572123
以色事他人,18,-17.319668,7.0022273
能得几时好,6,-25.085443,-35.02591
狂风吹我心,16,-54.745777,3.218549
此情不可道,0,3.0112226,-40.271877
此别何时遇,3,-25.554127,-14.460472
怀古钦英风,4,11.288626,-2.0331237
叹息此人去,3,-30.254139,-13.995025
萧条徐泗空,9,-39.921562,-23.691776
欢言得所憩,14,46.5506,-11.08321
美酒聊共挥,2,50.44814,-2.5946617
我醉君复乐,2,51.24265,-3.7719524
陶然共忘机,8,46.92636,-13.672681
引领意无限,16,34.181908,-2.4116442
心中与之然,12,23.99267,-5.571475
托兴每不浅,8,37.110218,-3.1391687
何当造幽人,16,14.671373,-17.131296
灭迹栖绝巘,9,9.594513,2.9549267
处世若大梦,8,-3.4987836,-4.218879
胡为劳其生,7,-21.461418,21.94928
所以终日醉,2,47.956627,-3.7144947
颓然卧前楹,8,20.215624,-10.506852
感之欲叹息,7,-26.664095,2.7733636
对酒还自倾,2,49.323265,-1.7530317
浩歌待明月,16,43.29713,3.8308759
曲尽已忘情,8,-17.251173,-21.836496
独酌无相亲,9,-32.933247,-28.806757
行乐须及春,2,57.218674,-1.4785482
永结无情游,8,33.76002,-2.9107397
相期邈云汉,16,-12.632791,-24.5703
羞颜未尝开,10,-8.541181,18.214928
感此伤妾心,11,-52.404064,-2.375487
坐愁红颜老,5,-28.174234,-0.6219588
思归多苦颜,5,-30.13856,-7.809483
叹息未应闲,7,-27.47529,2.7517066
总是玉关情,17,-21.328772,-13.077863
何日平胡虏,15,36.399876,34.847256
良人罢远征,12,24.571909,-3.7320793
那堪把剪刀,7,-11.504516,2.2508192
几日到临洮,16,12.090332,-16.451483
拖船一何苦,13,-32.78823,21.362087
心摧泪如雨,11,-58.642403,0.62597567
掩泪悲千古,11,-57.81929,5.6338296
不觉鬓成丝,6,-17.101305,-0.50409037
